167,1491,686,0,182
168,1495,684,0,193
169,1493,683,0,202
170,1494,679,0,209
171,1493,679,0,208
172,1491,680,0,209
173,1488,682,0,213
174,1486,682,0,227
175,1484,685,0,234
176,1486,685,0,235
177,1484,685,0,232
178,1482,687,0,236
179,1484,685,0,226
180,1485,684,0,224
181,1485,685,0,226
182,1484,686,0,224
183,1484,686,0,225
184,1483,687,0,225
185,1482,687,0,229
186,1480,687,0,227
187,1479,689,0,225
188,1480,689,0,220
189,1487,685,0,220
190,1484,686,0,228
191,1484,685,0,229
192,1488,683,0,237
193,1494,677,0,218
194,1495,674,0,216
195,1498,673,0,202
196,1501,671,0,192
197,1500,674,0,179
198,1501,675,0,177
199,1506,679,0,171
200,1511,680,0,151
201,1513,681,0,142
202,1511,682,0,157
203,1514,681,0,164
204,1519,681,0,160
205,1524,685,0,163
206,1527,688,0,164
207,1529,692,0,169
208,1535,694,0,171
209,1536,695,0,174
210,1537,694,0,174
211,1539,687,0,167
212,1547,688,0,166
213,1545,687,0,172
214,1545,684,0,176
215,1550,683,0,167
216,1559,676,0,169
217,1565,669,0,167
218,1569,672,0,168
219,1571,675,0,176
220,1574,677,0,165
221,1583,685,0,165
222,1592,692,0,163
223,1598,692,0,178
224,1603,687,0,190
225,1610,679,0,196
226,1615,678,0,200
227,1621,675,0,209
228,1621,675,0,203
229,1623,674,0,205
230,1627,673,0,211
231,1629,674,0,204
232,1633,674,0,194
233,1640,674,0,195
234,1641,674,0,192
235,1648,670,0,195
236,1646,670,0,198
237,1645,674,0,210
238,1646,673,0,202
239,1650,670,0,192
240,1648,669,0,194
241,1648,670,0,190
242,1650,671,0,187
243,1652,675,0,184
244,1660,675,0,176
245,1672,678,0,157
246,1687,681,0,161
247,1692,681,0,175
248,1703,675,0,172
249,1711,670,0,185
250,1718,665,0,196
251,1723,662,0,198
252,1731,653,0,207
253,1743,652,0,222
254,1748,650,0,214
255,1756,648,0,204
256,1764,651,0,199
257,1768,653,0,198
258,1780,649,0,196
259,1789,643,0,202
260,1796,638,0,219
261,1801,634,0,229
262,1804,624,0,234
263,1804,620,0,232
264,1808,620,0,242
265,1808,617,0,243
266,1806,619,0,228
267,1809,621,0,207
268,1813,618,0,196
269,1815,619,0,192
270,1824,618,0,194
271,1831,619,0,188
272,1843,624,0,183
273,1842,622,0,176
274,1843,619,0,176
275,1846,618,0,184
276,1850,616,0,188
277,1855,614,0,197
278,1856,611,0,199
279,1858,609,0,199
280,1857,609,0,192
281,1856,606,0,178
282,1855,606,0,166
283,1853,606,0,158
284,1851,608,0,165
285,1850,610,0,157
286,1849,611,0,150
287,1851,615,0,133
288,1850,615,0,125
289,1849,618,0,120
290,1851,618,0,118
291,1847,620,0,114
292,1846,623,0,101
293,1844,622,0,92
294,1842,624,0,92
295,1840,626,0,92
296,1839,630,0,89
297,1840,634,0,83
298,1838,638,0,80
299,1840,641,0,83
300,1841,644,0,87
301,1845,646,0,94
302,1848,649,0,100
303,1848,651,0,101
304,1849,654,0,101
305,1848,655,0,103
306,1847,654,0,102
307,1845,653,0,101
308,1844,653,0,105
309,1843,653,0,112
310,1843,654,0,108
311,1848,656,0,111
312,1851,661,0,112
313,1851,664,0,107
314,1850,664,0,108
315,1851,667,0,107
316,1851,668,0,110
317,1853,664,0,109
318,1850,661,0,115
319,1847,659,0,113
320,1846,661,0,106
321,1843,656,0,109
322,1843,655,0,102
323,1841,654,0,96
324,1840,653,0,99
325,1841,653,0,85
326,1840,654,0,83
327,1840,656,0,84
328,1840,659,0,81
329,1840,660,0,81
330,1840,663,0,84
331,1843,669,0,83
332,1845,671,0,76
333,1846,673,0,71
334,1847,674,0,75
335,1847,672,0,68
336,1850,670,0,79
337,1850,666,0,85
338,1852,663,0,85
339,1853,663,0,79
340,1851,662,0,70
341,1850,663,0,74
342,1849,663,0,72
343,1851,659,0,67
344,1851,656,0,63
345,1846,653,0,71
346,1846,654,0,67
347,1847,649,0,69
348,1845,653,0,51
349,1842,655,0,42
350,1840,657,0,40
351,1837,658,0,36
352,1834,660,0,37
353,1834,660,0,36
354,1833,662,0,42
355,1832,664,0,41
356,1829,663,0,35
357,1829,663,0,27
358,1830,661,0,24
359,1831,659,0,23
360,1830,658,0,18
361,1831,657,0,15
362,1831,654,0,13
363,1829,651,0,11
