epoch,train_loss,train_mae_deg,train_median_ae_deg,train_rmse_deg,train_axial_mae_deg,train_acc15_deg,train_acc30_deg,train_acc45_deg,val_loss,val_mae_deg,val_median_ae_deg,val_rmse_deg,val_axial_mae_deg,val_acc15_deg,val_acc30_deg,val_acc45_deg
1,0.11476856583143592,16.136669158935547,6.070180416107178,34.63105773925781,11.675530433654785,78.00558805465698,88.09939622879028,91.52642488479614,0.11547198454438232,15.43820571899414,4.9077372550964355,34.6435432434082,10.999898910522461,80.46101331710815,88.05584907531738,91.00222587585449
2,0.0711541566312739,10.680130004882812,3.790440797805786,28.61223030090332,7.192825794219971,88.94149661064148,93.64379644393921,95.27121186256409,0.09355832477457762,12.856267929077148,3.7174055576324463,31.6477108001709,9.036035537719727,84.223473072052,90.21034240722656,93.01487803459167
3,0.06336344170015872,9.520018577575684,3.2160491943359375,27.36101722717285,6.232960224151611,90.64105749130249,94.50013041496277,95.89517712593079,0.09227240281856695,12.411336898803711,3.4187350273132324,31.45256805419922,8.562715530395508,85.35147309303284,90.6714916229248,93.12781095504761
4,0.06075017674369348,9.111042976379395,3.005392551422119,26.961753845214844,5.86761999130249,91.17456078529358,94.84339356422424,96.13346457481384,0.10171515760722301,13.141006469726562,3.300299644470215,33.85612487792969,8.355091094970703,85.04897356033325,90.3978943824768,92.80581474304199
5,0.05845009976846102,8.803832054138184,2.889965772628784,26.644933700561523,5.592772960662842,91.65972471237183,95.11902332305908,96.34413123130798,0.09790818851560078,12.750371932983398,3.28548526763916,32.83409881591797,8.355206489562988,85.45768857002258,90.59216380119324,92.96849370002747
6,0.05506832428982475,8.316096305847168,2.673431634902954,25.89826774597168,5.269442081451416,92.18322038650513,95.4411506652832,96.56550288200378,0.08795603156007242,11.871874809265137,3.130234956741333,31.249895095825195,7.969706058502197,86.19646430015564,91.437828540802,93.65349411964417
7,0.052742048699875296,7.989006042480469,2.5453245639801025,25.509069442749023,4.989912509918213,92.61808395385742,95.71368098258972,96.7853307723999,0.09132107224576241,11.979608535766602,3.0829458236694336,31.53750991821289,7.932315826416016,86.11041903495789,91.43984317779541,93.55803728103638
8,0.05093984694236004,7.7822585105896,2.494549036026001,25.152175903320312,4.845463752746582,92.81986951828003,95.92941999435425,96.930330991745,0.09379650674777615,12.242380142211914,3.259591817855835,32.267852783203125,7.865095615386963,86.33090853691101,91.49093627929688,93.56744885444641
9,0.04673060067819124,7.322314739227295,2.397655963897705,24.149242401123047,4.603263854980469,93.35660934448242,96.3018536567688,97.22484350204468,0.09476226167222017,12.141515731811523,2.9083902835845947,32.52281951904297,7.678555488586426,86.30738258361816,91.29195809364319,93.5311496257782
10,0.04360345365769742,6.951444625854492,2.3073573112487793,23.369976043701172,4.389282703399658,93.7747061252594,96.6012954711914,97.46171832084656,0.09029266762961932,11.79110050201416,2.8803112506866455,31.6031494140625,7.704869747161865,86.59442663192749,91.47143959999084,93.54661107063293
11,0.04095887878864213,6.6845903396606445,2.27663516998291,22.7069149017334,4.252640724182129,94.09486055374146,96.86875343322754,97.66491651535034,0.08975969094809898,11.725174903869629,2.8575258255004883,31.5216007232666,7.632140636444092,86.59778833389282,91.55278205871582,93.67097020149231
12,0.03795012263021014,6.367249011993408,2.22623872756958,21.929519653320312,4.087225914001465,94.4640576839447,97.14367389678955,97.88234233856201,0.09121893531374017,11.802495956420898,2.8333330154418945,31.730289459228516,7.651360511779785,86.66164875030518,91.3753092288971,93.56207251548767
13,0.035701096935219855,6.119605541229248,2.182750940322876,21.316619873046875,3.9538702964782715,94.76603269577026,97.35673666000366,98.04031252861023,0.09308684631309899,11.963578224182129,2.834207534790039,32.00497055053711,7.77281379699707,86.39678955078125,91.14473462104797,93.332839012146
14,0.034135073403773,5.959153175354004,2.1656277179718018,20.873233795166016,3.878567695617676,94.97796893119812,97.50708937644958,98.1499433517456,0.09210504296655142,11.866510391235352,2.799332618713379,31.889501571655273,7.67315673828125,86.50838136672974,91.23212695121765,93.464595079422
15,0.033390497116712506,5.882321834564209,2.158599376678467,20.68575096130371,3.832026720046997,95.08774280548096,97.5888192653656,98.2113778591156,0.09142011751385849,11.836995124816895,2.8294878005981445,31.71852684020996,7.7087721824646,86.49493455886841,91.25968813896179,93.45518350601196
