epoch,train_loss,train_mae_deg,train_median_ae_deg,train_rmse_deg,train_axial_mae_deg,train_acc15_deg,train_acc30_deg,train_acc45_deg,val_loss,val_mae_deg,val_median_ae_deg,val_rmse_deg,val_axial_mae_deg,val_acc15_deg,val_acc30_deg,val_acc45_deg
1,0.10728167289026193,14.56052017211914,4.742391586303711,34.97836685180664,9.388290405273438,83.05552005767822,90.19718170166016,92.69164204597473,0.10506011887847819,13.947571754455566,4.025419235229492,33.849552154541016,9.41393756866455,83.21983814239502,90.05640149116516,92.52885580062866
2,0.08539476173737846,11.707073211669922,3.5823898315429688,32.0686149597168,7.065056324005127,88.34993839263916,92.83832907676697,94.50985193252563,0.13945929140448515,17.28879737854004,5.031418323516846,38.52031326293945,11.549403190612793,80.22573590278625,86.38132810592651,89.39761519432068
3,0.08983757529233999,12.236014366149902,3.7435617446899414,32.85993576049805,7.360223293304443,87.54095435142517,92.47322082519531,94.23239231109619,0.1055432323638399,13.456021308898926,3.5378057956695557,34.353607177734375,8.473237991333008,85.33668518066406,90.1249647140503,92.61153936386108
4,0.07830448820571259,10.803595542907715,3.2132370471954346,30.949554443359375,6.416637897491455,89.54644203186035,93.55290532112122,95.02686262130737,0.12186570326339018,16.600379943847656,6.643360137939453,36.83670425415039,10.851675033569336,80.84821701049805,89.44803476333618,92.02401041984558
5,0.07559700148011649,10.428927421569824,3.0450143814086914,30.547290802001953,6.122554302215576,90.0452733039856,93.85009407997131,95.25288939476013,0.10320134590755758,12.912142753601074,3.1836330890655518,34.306148529052734,7.816084861755371,86.28116846084595,91.06608629226685,93.02428960800171
6,0.07137961124317446,9.822574615478516,2.7609446048736572,29.79766082763672,5.703970909118652,90.79592227935791,94.21195983886719,95.51780819892883,0.0996186633577011,12.7177152633667,3.0670487880706787,33.659271240234375,7.966587066650391,85.84825396537781,90.82072377204895,93.0531919002533
7,0.07142753014238304,9.790056228637695,2.74359130859375,29.925127029418945,5.6006317138671875,90.96107482910156,94.27832961082458,95.560222864151,0.11016726786371057,13.419611930847168,3.044529438018799,35.477745056152344,7.923482894897461,85.70775389671326,90.36495089530945,92.49457120895386
8,0.06711069167984557,9.236626625061035,2.55570650100708,29.054283142089844,5.259590148925781,91.5016233921051,94.69980597496033,95.86121439933777,0.09074057107275227,11.783454895019531,2.8042094707489014,32.09868240356445,7.51573371887207,86.86264157295227,91.45530462265015,93.56072545051575
9,0.06227413909326034,8.685317039489746,2.4069178104400635,28.021240234375,4.993382453918457,92.07598567008972,95.06152868270874,96.14332914352417,0.09909580729674346,12.389761924743652,2.831923007965088,33.55501174926758,7.638383388519287,86.83844208717346,90.9941554069519,92.9395854473114
10,0.059775032134715876,8.42532730102539,2.361025810241699,27.548553466796875,4.8392205238342285,92.36584901809692,95.28375267982483,96.35469913482666,0.09724071208374128,12.099200248718262,2.6721067428588867,33.485557556152344,7.288084983825684,87.29286789894104,91.45732522010803,93.2454526424408
11,0.057525134364641,8.15709114074707,2.2934410572052,27.20718002319336,4.615330219268799,92.75702238082886,95.56403160095215,96.56113386154175,0.10024927175298444,12.319758415222168,2.6967670917510986,34.2559700012207,7.112917423248291,87.24917769432068,91.44589304924011,93.32746267318726
12,0.055572253921204746,7.908108711242676,2.2146410942077637,26.786537170410156,4.463440418243408,93.03293228149414,95.7656741142273,96.69443964958191,0.09364623772580195,11.579523086547852,2.5253398418426514,33.02964401245117,6.741691589355469,88.13449740409851,92.14097857475281,93.78726482391357
13,0.05119406384350704,7.445059299468994,2.1289427280426025,25.781429290771484,4.235837936401367,93.48554611206055,96.13515138626099,97.00924158096313,0.09477361399445054,11.714637756347656,2.535796642303467,33.15721130371094,6.8726420402526855,87.850821018219,91.94401502609253,93.59837174415588
14,0.04921711742793205,7.242933750152588,2.1071064472198486,25.311521530151367,4.13804292678833,93.69410276412964,96.32933139801025,97.15368151664734,0.09206821244481096,11.446534156799316,2.482172727584839,32.58855056762695,6.803569793701172,88.07131052017212,92.03611016273499,93.77718567848206
15,0.04791589452222155,7.109662055969238,2.089634895324707,24.99492835998535,4.076865196228027,93.83219480514526,96.44319415092468,97.25105166435242,0.09215271939842754,11.437500953674316,2.49191951751709,32.6014289855957,6.778934478759766,88.13382983207703,92.11946725845337,93.78995299339294
